YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,110876,535,129693,23968,151247,53058,67038,948571
2019-02,117947,0,130404,20368,148543,36291,42114,928498
2019-03,54643,13340,72837,20042,122627,35714,48960,950926
