YEAR-MONTH,ATL,DTW,SEA,MSP,SLC,CVG,LAX,WA,OR,ID-MT,NCA,SCA,NV-AZ-TX,NM-CO,WY,MT,ID,NV-UT,ND,MN,SD-NE,KS-MO,IA-IL,AR-OK,WI-MI,WI,TX,AR-LA,LA,MS,AL,GA,SC,TN,NC,VA,NFL,SFL,IL,IN,MO-AR,KY-OH,WV-VA,IL-IN-MI,MI,OH,MD-VA-PA,DE-NJ-PA,PA,SNY,NNY,CT-RI-MA,NH-VT-ME
2019-01,342331,209368,67757,249894,114991,5547,37244,0,60163,0,200601,78635,128437,102672,0,13265,1611,0,3399,0,0,59205,0,0,0,50921,0,0,38813,0,63,0,127,24971,53793,32217,41922,118493,0,0,0,46933,0,52694,0,0,22213,1554,27161,152712,0,31510,0
2019-02,341945,203003,54286,237195,81761,4881,26850,0,51867,0,184804,81070,114994,95823,0,14860,0,0,0,0,0,58272,0,0,0,58877,0,0,37957,0,0,0,0,23362,56648,36458,50610,111615,0,0,0,50966,0,52565,0,0,18668,1552,30572,126335,0,31851,0
2019-03,308981,149118,61917,202475,132862,24939,41117,10793,76027,0,199290,35886,88483,130497,0,4320,10081,0,0,0,0,49481,0,0,0,18669,270,0,14132,0,0,0,1450,35374,2564,57435,47410,136796,0,3819,30411,33614,0,34382,0,0,80454,2045,45922,199161,0,36702,0
