YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,2976,50,882,135,1217,225,534,4905
2019-02,2915,49,847,88,1141,201,463,4734
2019-03,3481,131,995,299,1121,324,1099,5425
