YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,1513,130,855,374,1152,372,735,6107
2019-02,1470,137,782,342,1108,343,654,5818
2019-03,1725,90,1186,508,1328,383,816,7562
