YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,65178,67662,78108,10627,114088,45846,51596,1118704
2019-02,67848,68424,75257,3974,113285,43551,44902,1081240
2019-03,32241,28926,79431,19168,88770,20231,26558,1215234
