YEAR-MONTH,ATL,DTW,SEA,MSP,SLC,CVG,LAX,WA,OR,ID-MT,NCA,SCA,NV-AZ-TX,NM-CO,WY,MT,ID,NV-UT,ND,MN,SD-NE,KS-MO,IA-IL,AR-OK,WI-MI,WI,TX,AR-LA,LA,MS,AL,GA,SC,TN,NC,VA,NFL,SFL,IL,IN,MO-AR,KY-OH,WV-VA,IL-IN-MI,MI,OH,MD-VA-PA,DE-NJ-PA,PA,SNY,NNY,CT-RI-MA,NH-VT-ME
2019-01,177923,152216,70208,205060,112142,81676,35493,2317,17334,33335,22578,38272,6021,30442,21295,15858,0,124,0,0,26580,19215,10785,0,0,40,226263,0,34367,0,0,0,0,15389,45626,0,48633,162624,0,21928,1734,24141,20351,37715,0,558,146965,9800,30187,332073,2326,145925,0
2019-02,183060,142653,67983,199343,97002,83835,27493,2284,16016,31414,20816,36520,5448,29551,20914,14901,0,0,0,0,23807,17944,434,0,0,0,218947,0,34891,0,0,0,0,10938,44052,0,35574,170463,0,20634,1825,28425,19332,42289,0,0,152039,9800,28599,316094,0,141381,0
2019-03,161088,171583,44509,192652,82028,38592,49499,20333,24392,23538,34441,37492,25848,18018,25832,18407,0,0,19054,0,25698,18296,13800,0,0,12073,211500,0,44482,0,0,0,12645,39432,71098,0,35065,163976,0,21292,13212,14640,19650,69543,0,24770,111075,447,16566,341387,22380,142864,13515
