Hub/Region,RR coeff,D coeff,intercept
ATL,0.000041,-0.001463,-0.933
CVG,0.00008,0.0081,-5.56
DTW,0.00003,-0.00175,-0.51
LAX,,,
MSP,-0.000005,0.001299,-1.86
SEA,,,
SLC,-0.000004,0.001359,-1.37
OTHER,0.000011,0.00062,-21.5
