YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,2158,10,1006,561,927,421,599,6459
2019-02,1819,1,946,497,903,361,569,5728
2019-03,2636,0,1092,458,1098,334,484,6966
