YEAR-MONTH,ATL,DTW,SEA,MSP,SLC,CVG,LAX,WA,OR,ID-MT,NCA,SCA,NV-AZ-TX,NM-CO,WY,MT,ID,NV-UT,ND,MN,SD-NE,KS-MO,IA-IL,AR-OK,WI-MI,WI,TX,AR-LA,LA,MS,AL,GA,SC,TN,NC,VA,NFL,SFL,IL,IN,MO-AR,KY-OH,WV-VA,IL-IN-MI,MI,OH,MD-VA-PA,DE-NJ-PA,PA,SNY,NNY,CT-RI-MA,NH-VT-ME
2019-01,157097,115222,70440,104894,74945,3661,45939,12329,21345,0,97561,37653,60299,49201,0,12931,0,0,15084,0,44,37808,2145,6993,1499,7212,104258,0,32057,3194,5586,42597,66194,50401,155196,587,17104,11180,0,16022,12778,22248,28929,67347,0,4694,9424,66253,15631,148156,20819,85768,633
2019-02,133533,102218,62830,91832,64801,454,40464,10008,17812,0,89436,34502,58938,44570,0,13414,0,0,16394,0,39,36400,0,14637,0,4300,91256,0,31089,1045,3341,48170,61552,49821,152226,0,10594,1559,0,12146,12536,16087,32948,48699,0,0,7233,61377,13128,109544,15032,85838,0
2019-03,183058,114291,45626,108003,50719,0,34862,9652,8162,0,70190,23735,42546,37389,0,30505,0,0,28530,0,13695,40698,0,31573,29501,4160,142667,0,35787,1877,24593,130,53058,30514,150990,0,42905,15709,0,15847,5061,0,20040,88830,0,0,17227,99306,14396,120820,39984,19442,446
