Hub/Region,RR coeff,D coeff,Intercept
ATL,-0.000021,-0.000373,3.04
CVG,,,
DTW,-0.000007,-0.00333,0.67
LAX,0.000085,0.00729,-11.5
MSP,0.000042,0.00114,-4.58
SEA,-0.000023,0.00242,-3.35
SLC,0.000017,0.00194,-3.65
OTHER,0.000008,-0.00073,-4.41
