YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,26159,2606,42975,11590,28155,38375,34586,975834
2019-02,26186,0,38942,13302,23726,41318,24810,864140
2019-03,19740,0,41651,11578,32192,22765,21517,921071
