YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,100039,0,97243,101353,84990,77908,91717,951760
2019-02,89523,0,96740,170266,113755,85317,80242,929485
2019-03,147092,0,86799,73132,55845,53774,95012,894012
