Hub/Region,RR coeff,D coeff,Intercept
ATL,-0.000003,0.00016,1.056
CVG,-0.00047,4.5,-51
DTW,0.000042,-0.00516,-3.02
LAX,0.000016,0.00124,-3.31
MSP,0.000003,-0.00004,-0.683
SEA,-0.000133,0.01293,-4.29
SLC,0.000027,-0.00039,-5.19
OTHER,-0.000002,0.000576,-0.675
