YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,2210,0,394,659,314,428,203,3633
2019-02,2054,0,377,618,313,384,189,3319
2019-03,2326,1,697,707,488,456,204,4086
