YEAR-MONTH,ATL,DTW,SEA,MSP,SLC,CVG,LAX,WA,OR,ID-MT,NCA,SCA,NV-AZ-TX,NM-CO,WY,MT,ID,NV-UT,ND,MN,SD-NE,KS-MO,IA-IL,AR-OK,WI-MI,WI,TX,AR-LA,LA,MS,AL,GA,SC,TN,NC,VA,NFL,SFL,IL,IN,MO-AR,KY-OH,WV-VA,IL-IN-MI,MI,OH,MD-VA-PA,DE-NJ-PA,PA,SNY,NNY,CT-RI-MA,NH-VT-ME
2019-01,277451,129672,124506,117576,112085,0,157578,0,22240,0,68182,27703,52140,31473,3804,232,0,3631,13993,0,0,0,0,15833,0,8012,80991,0,37752,0,60,0,0,34433,7370,24400,183121,217235,454,12642,26246,2097,0,7409,1067,9453,24868,23175,0,299419,3460,49793,0
2019-02,262754,130162,124794,162571,102406,0,265161,0,60438,0,149968,22558,92042,8109,3688,232,0,2916,13972,0,0,0,0,18352,0,11255,17709,0,30049,0,0,0,0,30966,38556,25493,156138,171780,0,10906,26844,597,0,5254,14635,8302,48394,15056,4914,256184,10233,50887,0
2019-03,328885,134683,99423,94049,115924,42,136502,332,13458,0,79077,25595,36211,9678,4710,315,0,3760,0,0,0,465,0,16518,0,28595,35132,0,58541,0,0,0,0,17166,12697,397,184746,264637,0,12185,601,0,0,19295,4861,15700,44028,18233,1078,293252,4343,45289,0
