Hub/Region,RR coeff,D coeff,Intercept
ATL,0.000011,0.00075,-2.64
CVG,0.000119,-0.0103,-7.54
DTW,-0.000013,0.0142,-7.92
LAX,0.00016,-0.00373,-6.66
MSP,-0.000011,-0.0025,-2.63
SEA,,,
SLC,0.00011,0.0185,-28.8
OTHER,-0.00004,0.0077,-7.7
