YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,1131,240,216,810,364,698,1015,2883
2019-02,1013,217,198,764,371,637,912,2542
2019-03,1525,407,174,681,593,783,945,3422
