Hub/Region,RR coeff,D coeff,Intercept
ATL,0.000011,0.00075,-2.64
CVG,,,
DTW,,,
LAX,,,
MSP,0.000089,-0.0291,-3.88
SEA,,,
SLC,,,
OTHER,,,
