,1,2,3,4,5,6,7
0,0.740818221,0.548811636,0.40656966,0.301194212,0.22313016,0.165298888,0.122456428
1,0.259181779,0.329286982,0.365912694,0.361433054,0.33469524,0.297537999,0.257158499
2,,0.121901382,0.164660712,0.216859833,0.25102143,0.267784199,0.270016424
3,,,0.062856934,0.086743933,0.125510715,0.160670519,0.189011497
4,,,,0.033768968,0.047066518,0.072301734,0.099231036
5,,,,,0.018575936,0.026028624,0.041677035
6,,,,,,0.010378037,0.014586962
7,,,,,,,0.005862118
