YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,16240,0,0,0,0,0,0,1802
2019-02,1676,0,0,0,0,0,0,0
2019-03,978,0,0,0,944,0,0,0
