YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,19,0,1,0,0,0,0,6
2019-02,3,0,0,0,1,0,0,0
2019-03,4,0,0,0,3,0,0,0
