YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,210,0,0,87,0,0,3,257
2019-02,177,0,0,77,2,0,1,247
2019-03,230,0,0,73,10,0,0,269
