YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,95821,0,0,25505,0,0,0,80561
2019-02,65275,0,0,20298,0,0,0,105855
2019-03,70246,0,0,24571,8932,0,0,57819
