,1,2,3,4,5,6,7
0,0.716531311,0.513417119,0.367879441,0.263597138,0.188875603,0.135335283,0.096971968
1,0.283468689,0.342278079,0.367879441,0.351462851,0.314792671,0.270670567,0.226267925
2,,0.144304802,0.183939721,0.234308567,0.262327226,0.270670567,0.263979246
3,,,0.080301397,0.104137141,0.145737348,0.180447044,0.205317191
4,,,,0.046494303,0.060723895,0.090223522,0.119768362
5,,,,,0.027543257,0.036089409,0.055891902
6,,,,,,0.016563608,0.02173574
7,,,,,,,0.010067667
