YEAR-MONTH,ATL,DTW,SEA,MSP,SLC,CVG,LAX,WA,OR,ID-MT,NCA,SCA,NV-AZ-TX,NM-CO,WY,MT,ID,NV-UT,ND,MN,SD-NE,KS-MO,IA-IL,AR-OK,WI-MI,WI,TX,AR-LA,LA,MS,AL,GA,SC,TN,NC,VA,NFL,SFL,IL,IN,MO-AR,KY-OH,WV-VA,IL-IN-MI,MI,OH,MD-VA-PA,DE-NJ-PA,PA,SNY,NNY,CT-RI-MA,NH-VT-ME
2019-01,168199,60268,0,132876,942,23291,0,17060,0,0,0,150,20376,10494,0,0,1248,0,0,0,12850,2443,0,0,0,36943,45711,0,0,0,0,0,36877,0,2500,2799,17101,25328,0,2047,132,35706,0,9379,0,11671,108306,8589,975,0,27729,34829,9085
2019-02,161410,48845,0,104450,0,13935,0,15180,0,0,0,0,16324,4834,0,0,0,0,0,0,13990,0,0,0,0,25337,45253,0,0,0,0,0,36834,0,0,0,13462,23112,0,0,0,32529,0,9872,0,8043,99843,921,0,0,27938,31062,9067
2019-03,181182,52301,0,49208,0,3650,0,0,0,0,0,0,20996,33240,0,0,0,0,0,0,0,17793,0,0,0,17913,24600,0,1617,0,0,0,42881,12945,12853,17881,27435,14188,0,0,3497,14796,0,3305,0,24576,51561,0,0,0,43859,71919,11340
