YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,1734,175,320,0,520,0,7,2270
2019-02,1653,146,244,0,363,0,0,2024
2019-03,1984,82,370,0,284,0,0,2442
