YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,46799,15879,39080,0,84118,0,585,331117
2019-02,46329,7656,30748,0,56881,0,0,284720
2019-03,26101,0,26568,0,26039,0,0,325601
