Hub/Region,RR coeff,D coeff,intercept
ATL,0.000018,-0.000401,-0.485
CVG,,,
DTW,0.000027,0.00457,-6.18
LAX,,,
MSP,-0.000029,0.00426,-1.73
SEA,,,
SLC,0.000155,-0.0116,-3.74
OTHER,-0.000008,0.00139,-0.93
