YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,29561,0,13923,3383,31539,20517,0,75182
2019-02,30606,0,8537,0,32331,20632,0,74570
2019-03,19993,0,791,0,43177,8898,0,59620
