YEAR-MONTH,ATL,DTW,SEA,MSP,SLC,CVG,LAX,WA,OR,ID-MT,NCA,SCA,NV-AZ-TX,NM-CO,WY,MT,ID,NV-UT,ND,MN,SD-NE,KS-MO,IA-IL,AR-OK,WI-MI,WI,TX,AR-LA,LA,MS,AL,GA,SC,TN,NC,VA,NFL,SFL,IL,IN,MO-AR,KY-OH,WV-VA,IL-IN-MI,MI,OH,MD-VA-PA,DE-NJ-PA,PA,SNY,NNY,CT-RI-MA,NH-VT-ME
2019-01,54851,25322,27722,54771,1952,0,15060,0,0,0,3308,4555,11039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87883,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02,55554,19530,27674,52850,913,0,10106,0,0,0,4084,4880,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92487,6035,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
2019-03,47895,16192,21259,76154,0,0,11349,0,0,0,4092,2108,18135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50390,26993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
