YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,233,0,136,146,281,81,27,455
2019-02,250,0,121,136,264,72,13,444
2019-03,282,0,154,151,365,114,0,560
