YEAR-MONTH,ATL,DTW,SEA,MSP,SLC,CVG,LAX,WA,OR,ID-MT,NCA,SCA,NV-AZ-TX,NM-CO,WY,MT,ID,NV-UT,ND,MN,SD-NE,KS-MO,IA-IL,AR-OK,WI-MI,WI,TX,AR-LA,LA,MS,AL,GA,SC,TN,NC,VA,NFL,SFL,IL,IN,MO-AR,KY-OH,WV-VA,IL-IN-MI,MI,OH,MD-VA-PA,DE-NJ-PA,PA,SNY,NNY,CT-RI-MA,NH-VT-ME
2019-01,296967,117668,75,105997,69660,0,51574,0,0,0,0,47062,140419,0,0,12604,0,0,0,0,0,0,0,0,0,1218,64391,0,0,0,0,0,0,0,4301,0,47303,243236,0,0,0,0,0,0,0,0,40113,0,0,208063,0,86580,0
2019-02,282130,106349,0,86604,66348,0,45686,0,0,0,0,40112,124806,0,0,11388,0,0,0,0,0,0,0,0,0,1276,67148,0,0,0,0,0,0,0,0,0,44300,228143,0,0,0,0,0,0,0,0,36705,0,0,198544,0,90023,0
2019-03,245478,89102,0,110454,69233,2385,38947,0,0,0,0,91350,164983,0,0,12640,0,0,0,0,0,540,0,0,0,20007,74522,0,0,0,0,0,0,2052,27513,0,77956,170183,0,12625,0,0,0,0,0,0,42015,0,0,199984,0,99529,0
