YEAR-MONTH,ATL,CVG,DTW,LAX,MSP,SEA,SLC,OTHER
2019-01,134902,0,66137,27900,65575,0,36456,611406
2019-02,129284,0,62172,26555,48930,0,39243,571919
2019-03,91396,431,32773,21107,60068,0,40568,664282
