AIRPORT CODE,NAME,ADDRESS,STATE,STATE REGION,HUB-SHORTEST DISTANCE,DISTANCE,HUB-SHORTEST TRAVEL TIME,TRAVEL TIME
TRI,Tri-Cities Regional Airport,"2525 TN-75 Suite 301, Blountville, TN 37617",TN,TN,ATL,291,ATL,289
TUL,Tulsa International Airport,"7777 Airport Dr, Tulsa, OK 74115",OK,AR-OK,MSP,667,MSP,609
TUP,Tupelo Regional Airport,"2763 W Jackson Street Extended, Tupelo, MS 38801",MS,MS,ATL,293,ATL,267
TUS,Tucson International Airport,"7250 S Tucson Blvd, Tucson, AZ 85756",AZ,NV-AZ-TX,LAX,508,LAX,467
TVC,Cherry Capital Airport,"727 Fly Don't Dr, Traverse City, MI 49686",MI,MI,DTW,257,DTW,240
TVF,Thief River Falls Regional Airport,"13722 Airport Dr, Thief River Falls, MN 56701",MN,MN,MSP,306,MSP,305
TWF,Magic Valley Regional Airport,"492 Airport Loop, Twin Falls, ID 83301",ID,ID,SLC,226,SLC,206
TYS,McGhee Tyson Airport,"2055 Alcoa Hwy, Alcoa, TN 37701",TN,TN,ATL,226,ATL,208
VAD,Moody Air Force Base,"Moody AFB, Georgia 31699",GA,GA,ATL,227,ATL,206
VCV,Southern California Logistics Airport,"18374 Phantom W, Victorville, CA 92394",CA,SCA,LAX,105,LAX,110
VLD,Valdosta Regional Airport,"1750 Airport Rd, Valdosta, GA 31601",GA,GA,ATL,228,ATL,200
VOK,Volk Field Air National Guard Base,"100 Independence Dr, Camp Douglas, WI 54618",WI,WI,MSP,184,MSP,167
VPS,Destin–Fort Walton Beach Airport,"1701 State Road 85 North, Eglin AFB, FL 32542",FL,NFL,ATL,308,ATL,285
VQQ,Cecil Airport,"13365 Simpson Way, Jacksonville, FL 32221",FL,NFL,ATL,334,ATL,297
WRI,McGuire Air Force Base,"3021 McGuire Blvd, McGuire AFB, NJ 08641",NJ,DE-NJ-PA,DTW,603,DTW,553
WYS,Yellowstone Airport,"721 Airport Rd, West Yellowstone, MT 59758",MT,MT,SLC,326,SLC,292
XNA,Northwest Arkansas Regional Airport,"1 Airport Blvd, Bentonville, AR 72712",AR,AR-OK,MSP,648,MSP,579
YIP,Willow Run Airport,"801 Willow Run Airport, Ypsilanti, MI 48198",MI,MI,DTW,14.9,DTW,19
YNG,Youngstown–Warren Regional Airport,"1453 Youngstown Kingsville Rd, Vienna Center, OH 44473",OH,OH,DTW,215,DTW,206
