AIRPORT CODE,NAME,ADDRESS,STATE,STATE REGION,HUB-SHORTEST DISTANCE,DISTANCE,HUB-SHORTEST TRAVEL TIME,TRAVEL TIME
EWN,Coastal Carolina Regional Airport,"200 Terminal Dr, New Bern, NC 28562",NC,NC,ATL,512,ATL,456
EWR,Newark Liberty International Airport,"3 Brewster Rd, Newark, NJ 07114",NJ,DE-NJ-PA,DTW,600,DTW,551
EYW,Key West International Airport,"3491 S Roosevelt Blvd, Key West, FL 33040",FL,SFL,ATL,817,ATL,745
FAR,Hector International Airport,"2801 32nd Ave N, Fargo, ND 58102",ND,ND,MSP,254,MSP,227
FAT,Fresno Yosemite International Airport,"5175 E Clinton Way, Fresno, CA 93727",CA,NCA,LAX,228,LAX,222
FAY,Fayetteville Regional Airport,"400 Airport Rd, Fayetteville, NC 28306",NC,NC,ATL,378,ATL,331
FCA,Glacier Park International Airport,"4170 US-2, Kalispell, MT 59901",MT,ID-MT,SEA,522,SEA,498
FLL,Fort Lauderdale–Hollywood International Airport,"100 Terminal Dr, Fort Lauderdale, FL 33315",FL,SFL,ATL,643,ATL,545
FNT,Bishop International Airport,"3425 W Bristol Rd, Flint, MI 48507",MI,MI,DTW,73.8,DTW,69
FOE,Topeka Regional Airport,"6510 SE Forbes Ave, Topeka, KS 66619",KS,KS-MO,MSP,500,MSP,439
FRG,Republic Airport,"7150 Republic Airport, Farmingdale, NY 11735",NY,SNY,DTW,643,DTW,605
FSD,Sioux Falls Regional Airport,"2801 N Jaycee Ln, Sioux Falls, SD 57104",SD,SD-NE,MSP,230,MSP,222
FSM,Fort Smith Regional Airport,"6700 McKennon Blvd #200, Fort Smith, AR 72903",AR,AR-LA,ATL,677,ATL,609
FWA,Fort Wayne International Airport,"3801 W Ferguson Rd, Fort Wayne, IN 46809",IN,IL-IN-MI,DTW,161,DTW,153
GCC,Gillette–Campbell County Airport,"2000 Airport Rd, Gillette, WY 82716",WY,WY,SLC,539,SLC,500
GEG,Spokane International Airport,"9000 W Airport Dr, Spokane, WA 99224",WA,WA,SEA,284,SEA,263
GFK,Grand Forks International Airport,"2301 Airport Dr, Grand Forks, ND 58203",ND,ND,MSP,330,MSP,290
GJT,Grand Junction Regional Airport,"2828 Walker Field Dr, Grand Junction, CO 81506",CO,NM-CO,SLC,288,SLC,268
GLH,Mid-Delta Regional Airport,"278 Fifth Avenue, Greenville, MS 38703",MS,MS,ATL,432,ATL,419
GNV,Gainesville Regional Airport,"3880 NE 39th Ave A, Gainesville, FL 32609",FL,NFL,ATL,330,ATL,291
GPT,Gulfport–Biloxi International Airport,"14035 Airport Rd, Gulfport, MS 39503",MS,MS,ATL,389,ATL,336
GRB,Austin Straubel International Airport,"2077 Airport Dr, Green Bay, WI 54313",WI,WI-MI,MSP,279,MSP,254
GRK,Killeen–Fort Hood Regional Airport,"8101 S Clear Creek Rd, Killeen, TX 76549",TX,TX,ATL,902,ATL,819
GRR,Gerald R. Ford International Airport,"5500 44th St SE, Grand Rapids, MI 49512",MI,IL-IN-MI,DTW,148,DTW,134
GSO,Piedmont Triad International Airport,"1000 Ted Johnson Pkwy, Greensboro, NC 27409",NC,NC,ATL,347,ATL,318
GSP,Greenville–Spartanburg International Airport,"2000 GSP Dr, Greer, SC 29651",SC,SC,ATL,166,ATL,156
GTF,Great Falls International Airport,"2800 Terminal Dr, Great Falls, MT 59404",MT,MT,SLC,563,SLC,502
GTR,Golden Triangle Regional Airport,"2080 Airport Rd, Columbus, MS 39701",MS,MS,ATL,281,ATL,262
HDN,Yampa Valley Airport,"11005 Co Rd 51A, Hayden, CO 81639",CO,NM-CO,SLC,316,SLC,329
HIB,Range Regional Airport,"11038 MN-37, Hibbing, MN 55746",MN,MN,MSP,209,MSP,192
HLN,Helena Regional Airport,"2850 Mercer Loop, Helena, MT 59602",MT,MT,SLC,480,SLC,429
HOP,Campbell Army Airfield,"Oak Grove, KY 42262",KY,KY-OH,CVG,280,CVG,249
HOU,William P. Hobby Airport,"7800 Airport Blvd, Houston, TX 77061",TX,TX,ATL,787,ATL,685
HPN,Westchester County Airport,"240 Airport Rd, White Plains, NY 10604",NY,SNY,DTW,632,DTW,581
HSV,Huntsville International Airport,"1000 Glenn Hearn Blvd SW, Huntsville, AL 35824",AL,AL,ATL,202,ATL,219
HUF,Terre Haute International Airport,"S Airport St, Terre Haute, IN 47803",IN,IN,CVG,179,CVG,169
IAD,Washington Dulles International Airport,"1 Saarinen Cir, Dulles, VA 20166",VA,MD-VA-PA,DTW,506,DTW,481
IAH,George Bush Intercontinental Airport,"2800 N Terminal Rd, Houston, TX 77032",TX,TX,ATL,794,ATL,691
ICT,Wichita Dwight D. Eisenhower National Airport,"2277 Eisenhower Airport Pkwy, Wichita, KS 67209",KS,KS-MO,MSP,636,MSP,554
IDA,Idaho Falls Regional Airport,"2140 N Skyline Dr, Idaho Falls, ID 83402",ID,ID,SLC,217,SLC,187
ILG,Wilmington Airport,"151 N Dupont Hwy # 11, New Castle, DE 19720",DE,DE-NJ-PA,DTW,582,DTW,539
ILM,Wilmington International Airport,"1740 Airport Blvd, Wilmington, NC 28405",NC,NC,ATL,427,ATL,379
ILN,Wilmington Air Park,"1113 Airport Rd, Wilmington, OH 45177",OH,KY-OH,CVG,70,CVG,73
IMT,Ford Airport,"400 Riverhills Rd, Kingsford, MI 49802",MI,WI-MI,MSP,315,MSP,315
IND,Indianapolis International Airport,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis, IN 46241",IN,IN,CVG,124,CVG,118
INL,Falls International Airport,"3214 2nd Ave E, International Falls, MN 56649",MN,MN,MSP,301,MSP,283
INS,Creech Air Force Base,"Indian Springs, NV 89018",NV,NV-AZ-TX,LAX,330,LAX,303
INT,Smith Reynolds Airport,"3801 N Liberty St # 204, Winston-Salem, NC 27105",NC,NC,ATL,331,ATL,307
IPT,Williamsport Regional Airport,"724 Airport Rd, Montoursville, PA 17754",PA,PA,DTW,433,DTW,403
ITH,Ithaca Tompkins Regional Airport,"1 Culligan Dr, Ithaca, NY 14850",NY,NNY,DTW,490,DTW,460
JAC,Jackson Hole Airport,"1250 E Airport Rd, Jackson, WY 83001",WY,WY,SLC,290,SLC,294
JAN,Jackson–Evers International Airport,"100 International Dr, Jackson, MS 39208",MS,MS,ATL,383,ATL,343
JAX,Jacksonville International Airport,"2400 Yankee Clipper Dr, Jacksonville, FL 32218",FL,NFL,ATL,352,ATL,306
JFK,John F. Kennedy International Airport,"Queens, NY 11430",NY,SNY,DTW,626,DTW,589
LAF,Purdue University Airport,"1501 Aviation Dr, West Lafayette, IN 47907",IN,IN,CVG,181,CVG,178
LAN,Capital Region International Airport,"4100 Capitol City Blvd, Lansing, MI 48906",MI,MI,DTW,93.5,DTW,92
LAS,McCarran International Airport,"5757 Wayne Newton Blvd, Las Vegas, NV 89119",NV,NV-AZ-TX,LAX,283,LAX,264
LAW,Lawton–Fort Sill Regional Airport,"3401 SW 11th St, Lawton, OK 73501",OK,AR-OK,MSP,874,MSP,754
LAX,Los Angeles International Airport,"1 World Way, Los Angeles, CA 90045",CA,R-LAX,LAX,1,LAX,1
LCK,Rickenbacker International Airport,"2295 John Cir Dr, Columbus, OH 43217",OH,KY-OH,CVG,120,CVG,121
LEX,Blue Grass Airport,"4000 Terminal Dr, Lexington, KY 40510",KY,KY-OH,CVG,84.8,CVG,83
LFI,Langley Air Force Base,"Hampton, VA 23665",VA,VA,ATL,592,ATL,555
LFT,Lafayette Regional Airport,"200 Terminal Dr, Lafayette, LA 70508",LA,LA,ATL,572,ATL,499
LGA,LaGuardia Airport,"Queens, NY 11371",NY,SNY,DTW,615,DTW,570
LGB,Long Beach Airport,"4100 Donald Douglas Dr, Long Beach, CA 90808",CA,SCA,LAX,22,LAX,29
LIT,Clinton National Airport,"1 Airport Rd, Little Rock, AR 72202",AR,AR-LA,ATL,524,ATL,478
LNK,Lincoln Airport,"2400 W Adams St, Lincoln, NE 68524",NE,SD-NE,MSP,427,MSP,376
LRF,Little Rock Air Force Base,"Little Rock AFB, Jacksonville, AR",AR,AR-LA,ATL,526,ATL,480
LSE,La Crosse Regional Airport,"2850 Airport Dr, La Crosse, WI 54603",WI,WI,MSP,149,MSP,141
LSV,Nellis Air Force Base,"4475 England Ave, Nellis AFB, NV 89191",NV,NV-AZ-TX,LAX,295,LAX,281
LWB,Greenbrier Valley Airport,"558 Airport Rd, Lewisburg, WV 24901",WV,WV-VA,CVG,316,CVG,315
LWS,Lewiston–Nez Perce County Airport,"406 Burrell Ave, Lewiston, ID 83501",ID,ID-MT,SEA,323,SEA,323
MBS,MBS International Airport,"9200 Garfield Rd, Freeland, MI 48623",MI,MI,DTW,126,DTW,116
MCF,MacDill Air Force Base,"MacDill Air Force Base, Tampa, FL 33621",FL,SFL,ATL,463,ATL,403
MCI,Kansas City International Airport,"Kansas City, MO 64153",MO,KS-MO,MSP,432,MSP,380
MCO,Orlando International Airport,"1 Jeff Fuqua Blvd, Orlando, FL 32827",FL,NFL,ATL,446,ATL,382
MDT,Harrisburg International Airport,"1 Terminal Dr, Middletown, PA 17057",PA,PA,DTW,478,DTW,439
MDW,Midway International Airport,"5700 S Cicero Ave, Chicago, IL 60638",IL,IL-IN-MI,DTW,270,DTW,256
MEI,Meridian Regional Airport,"2811 Airport Blvd S, Meridian, MS 39307",MS,MS,ATL,301,ATL,269
MEM,Memphis International Airport,"2491 Winchester Rd, Memphis, TN 38116",TN,TN,ATL,381,ATL,348
MFR,Rogue Valley International–Medford Airport,"1000 Terminal Loop Pkwy, Medford, OR 97504",OR,OR,SEA,432,SEA,410
MGM,Montgomery Regional Airport,"4445 Selma Hwy, Montgomery, AL 36108",AL,AL,ATL,160,ATL,144
MHK,Manhattan Regional Airport,"5500 Skyway Dr #120, Manhattan, KS 66503",KS,KS-MO,MSP,560,MSP,488
MHT,Manchester–Boston Regional Airport,"1 Airport Rd, Manchester, NH 03103",NH,NH-VT-ME,DTW,765,DTW,702
MIA,Miami International Airport,"2100 NW 42nd Ave, Miami, FL 33126",FL,SFL,ATL,662,ATL,563
MIB,Minot Air Force Base,"Minot Air Force Base, North Dakota 58705",ND,ND,MSP,527,MSP,485
MIE,Delaware County Regional Airport,"311 W Carl Simmons Dr, Muncie, IN 47303",IN,IN,CVG,112,CVG,136
MKC,Charles B. Wheeler Downtown Airport,"900 Richards Rd, Kansas City, MO 64116",MO,KS-MO,MSP,432,MSP,377
MKE,Milwaukee Mitchell International Airport,"5300 S Howell Ave, Milwaukee, WI 53207",WI,WI,MSP,344,MSP,307
MLB,Orlando Melbourne International Airport,"1 Air Terminal Pkwy, Melbourne, FL 32901",FL,SFL,ATL,504,ATL,439
MLI,Quad City International Airport,"2200 69th Ave, Moline, IL 61265",IL,IA-IL,MSP,335,MSP,325
MLU,Monroe Regional Airport,"5400 Operations Rd, Monroe, LA 71212",LA,AR-LA,ATL,503,ATL,448
MOB,Mobile Regional Airport,"8400 Airport Blvd, Mobile, AL 36608",AL,AL,ATL,327,ATL,291
MOT,Minot International Airport,"305 Airport Rd, Minot, ND 58703",ND,ND,MSP,513,MSP,470
MQT,Sawyer International Airport,"125 Ave G, Gwinn, MI 49841",MI,WI-MI,MSP,394,MSP,403
MQY,Smyrna Airport,"278 Doug Warpoole Rd, Smyrna, TN 37167",TN,TN,ATL,243,ATL,228
MSL,Northwest Alabama Regional Airport,"1729 T Ed Campbell Dr, Muscle Shoals, AL 35661",AL,AL,ATL,263,ATL,252
MSN,Dane County Regional Airport,"4000 International Ln, Madison, WI 53704",WI,WI,MSP,267,MSP,241
MSO,Missoula International Airport,"5225 U.S. Highway 10 W, Missoula, MT 59808",MT,ID-MT,SEA,481,SEA,454
MSP,Minneapolis–Saint Paul International Airport,"7150 Humphrey Dr, Minneapolis, MN 55450",MN,R-MSP,MSP,1,MSP,1
MSY,Louis Armstrong New Orleans International Airport,"1 Terminal Dr, Kenner, LA 70062",LA,LA,ATL,470,ATL,408
MTJ,Montrose Regional Airport,"2100 Airport Rd, Montrose, CO 81401",CO,NM-CO,SLC,345,SLC,332
MVY,Martha's Vineyard Airport,"71 Airport Rd, West Tisbury, MA 02575",MA,CT-RI-MA,DTW,808,DTW,798
MYR,Myrtle Beach International Airport,"1100 Jetport Rd, Myrtle Beach, SC 29577",SC,SC,ATL,371,ATL,349
MZJ,Pinal Airpark,"24641 E Pinal Airpark Rd, Red Rock, AZ 85145",AZ,NV-AZ-TX,LAX,478,LAX,436
NBG,NAS JRB New Orleans,"301 Russell Dr, Belle Chasse, LA 70037",LA,LA,ATL,473,ATL,418
NCO,Quonset State Airport,"150 Airport St, North Kingstown, RI 02852",RI,CT-RI-MA,DTW,776,DTW,717
NGU,NS Norfolk,"Norfolk, VA 23511",VA,VA,ATL,586,ATL,555
NIP,NAS Jacksonville,"Jacksonville, FL 32212",FL,NFL,ATL,351,ATL,307
NKT,Marine Corps Air Station Cherry Point,"MCAS Cherry Point, NC 28533",NC,NC,ATL,536,ATL,484
NQX,NAS Key West,"800 Sigsbee Rd, Key West, FL 33040",FL,SFL,ATL,818,ATL,746
NUW,NAS Whidbey Island,"3730 N Charles Porter Ave, Oak Harbor, WA 98278",WA,WA,SEA,106,SEA,117
NZY,NAS North Island,"San Diego, CA 92135",CA,SCA,LAX,130,LAX,127
OAJ,Albert J. Ellis Airport,"264 Albert J. Ellis Airport Rd, Richlands, NC 28574",NC,NC,ATL,444,ATL,420
OAK,Oakland International Airport,"1 Airport Dr, Oakland, CA 94621",CA,NCA,LAX,369,LAX,344
OCF,Ocala International Airport,"750 SW 60th Ave, Ocala, FL 34474",FL,NFL,ATL,362,ATL,311
OFF,Offutt Air Force Base,"Offutt AFB, NE 68113",NE,SD-NE,MSP,380,MSP,335
OKC,Will Rogers World Airport,"7100 Terminal Dr, Oklahoma City, OK 73159",OK,AR-OK,MSP,792,MSP,686
OMA,Eppley Airfield,"4501 Abbott Dr, Omaha, NE 68110",NE,SD-NE,MSP,377,MSP,336
ONT,Ontario International Airport,"2500 E Airport Dr, Ontario, CA 91761",CA,SCA,LAX,56.9,LAX,68
ORD,O'Hare International Airport,"10000 W O'Hare Ave, Chicago, IL 60666",IL,IL-IN-MI,DTW,289,DTW,261
ORF,Norfolk International Airport,"2200 Norview Ave, Norfolk, VA 23518",VA,VA,ATL,586,ATL,548
PBI,Palm Beach International Airport,"1000 James L Turnage Blvd, West Palm Beach, FL 33415",FL,SFL,ATL,597,ATL,506
PDX,Portland International Airport,"7000 NE Airport Way, Portland, OR 97218",OR,OR,SEA,162,SEA,158
PHF,Newport News/Williamsburg International Airport,"900 Bland Blvd, Newport News, VA 23602",VA,VA,CVG,584,ATL,544
PHL,Philadelphia International Airport,"8000 Essington Ave, Philadelphia, PA 19153",PA,MD-VA-PA,DTW,581,DTW,532
PHX,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix, AZ 85034",AZ,NV-AZ-TX,LAX,392,LAX,365
PIA,General Wayne A. Downing Peoria International Airport,"6100 W Everett McKinley Dirksen Pkwy, Peoria, IL 61607",IL,IL,CVG,329,CVG,303
PIB,Hattiesburg–Laurel Regional Airport,"1002 Terminal Dr, Moselle, MS 39459",MS,MS,ATL,374,ATL,332
PIE,St. Pete–Clearwater International Airport,"14700 Terminal Blvd #221, Clearwater, FL 33762",FL,SFL,ATL,470,ATL,406
PIH,Pocatello Regional Airport,"1950 Airport Way, Pocatello, ID 83204",ID,ID,SLC,177,SLC,154
PIT,Pittsburgh International Airport,"1000 Airport Blvd, Pittsburgh, PA 15231",PA,PA,DTW,264,DTW,247
PLN,Pellston Regional Airport,"1395 US-31, Pellston, MI 49769",MI,MI,DTW,290,DTW,250
PNS,Pensacola International Airport,"2430 Airport Blvd, Pensacola, FL 32504",FL,NFL,ATL,313,ATL,291
PSC,Tri-Cities Airport,"3601 N 20th Ave, Pasco, WA 99301",WA,WA,SEA,230,SEA,217
PSP,Palm Springs International Airport,"3400 E Tahquitz Canyon Way, Palm Springs, CA 92262",CA,SCA,LAX,124,LAX,133
PTK,Oakland County International Airport,"6500 Highland Rd, Waterford Twp, MI 48327",MI,MI,DTW,38.9,DTW,51
PVD,Theodore Francis Green State Airport,"2000 Post Rd, Warwick, RI 02886",RI,CT-RI-MA,DTW,774,DTW,712
PVU,Provo Municipal Airport,"3421 Mike Jense Pkwy, Provo, UT 84601",UT,NV-UT,SLC,50.3,SLC,54
PWM,Portland International Jetport,"1001 Westbrook St, Portland, ME 04102",ME,NH-VT-ME,DTW,831,DTW,762
RAP,Rapid City Regional Airport,"4550 Terminal Rd, Rapid City, SD 57703",SD,SD-NE,MSP,570,MSP,503
